"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total Current M$ in 2012"
"California","Alabama","Logs","Truck","0.0009","0.00198356","0","0"
"California","Alaska","Logs","Truck","0","0","0","0"
"California","Arizona","Logs","Truck","2.2336","1.18939881","0.1139","0.1082"
"California","Arkansas","Logs","Truck","0.0016","0.00294378","0","0"
"California","California","Logs","Truck","11484.6537","914.05617341","555.6132","526.6724"
"California","Colorado","Logs","Truck","2.2649","2.27609893","4.7464","4.4991"
"California","Connecticut","Logs","Truck","0","0","0","0"
"California","Delaware","Logs","Truck","0","0","0","0"
"California","Washington DC","Logs","Truck","0","0","0","0"
"California","Florida","Logs","Truck","0.0015","0.00412768","0","0"
"California","Georgia","Logs","Truck","0.0011","0.00278819","0","0"
"California","Idaho","Logs","Truck","7.8463","6.09983729","3.5978","3.4104"
"California","Illinois","Logs","Truck","0.0021","0.00439485","0.0001","0.0001"
"California","Indiana","Logs","Truck","0.0015","0.00347648","0","0"
"California","Iowa","Logs","Truck","0.1767","0.32903549","0.1772","0.168"
"California","Kansas","Logs","Truck","0.002","0.00308611","0","0"
"California","Kentucky","Logs","Truck","0.0006","0.00158612","0","0"
"California","Louisiana","Logs","Truck","0.0014","0.00283002","0","0"
"California","Maine","Logs","Truck","0","0","0","0"
"California","Maryland","Logs","Truck","0.0001","0.00044393","0","0"
"California","Massachusetts","Logs","Truck","0.0002","0.00075536","0","0"
"California","Michigan","Logs","Truck","0.0006","0.00163174","0","0"
"California","Minnesota","Logs","Truck","6.735","13.67020433","8.3374","7.9032"
"California","Mississippi","Logs","Truck","0.0008","0.00173538","0","0"
"California","Missouri","Logs","Truck","0.0031","0.00573709","0","0"
"California","Montana","Logs","Truck","0.0026","0.0031475","0.0001","0.0001"
"California","Nebraska","Logs","Truck","0.0011","0.00169229","0","0"
"California","Nevada","Logs","Truck","11.5388","3.94415669","5.036","4.7738"
"California","New Hampshire","Logs","Truck","0","0","0","0"
"California","New Jersey","Logs","Truck","0.0001","0.00035724","0","0"
"California","New Mexico","Logs","Truck","0.0088","0.00840339","0.0005","0.0004"
"California","New York","Logs","Truck","0.0006","0.00173295","0","0"
"California","North Carolina","Logs","Truck","0.0006","0.00126462","0","0"
"California","North Dakota","Logs","Truck","0.0005","0.00085651","0","0"
"California","Ohio","Logs","Truck","0.0007","0.00163044","0","0"
"California","Oklahoma","Logs","Truck","0.0028","0.0042753","0","0"
"California","Oregon","Logs","Truck","5.1747","2.93708615","3.6978","3.5053"
"California","Pennsylvania","Logs","Truck","0.0006","0.00157178","0","0"
"California","Rhode Island","Logs","Truck","0","0","0","0"
