"DMS ORIG","DMS DEST","DMS_MODE","Total KTons in 2007","Total Ton-Mile in 2007","Total M$ in 2007"
"Connecticut","North Dakota","Truck","21.6479","35.31913577","74.3108"
"Connecticut","Ohio","Truck","461.738799999999","287.05275336","1747.8404"
"Connecticut","Oklahoma","Truck","28.1038","43.08027322","165.6422"
"Connecticut","Oregon","Truck","24.3744","73.58600775","101.6182"
"Connecticut","Pennsylvania","Truck","1719.787","482.89834297","3208.2614"
"Connecticut","Rhode Island","Truck","1394.7462","118.59103825","2340.3579"
"Connecticut","South Carolina","Truck","290.0015","234.54022286","745.8005"
"Connecticut","South Dakota","Truck","0.7677","1.20118274","7.2092"
"Connecticut","Tennessee","Truck","206.7958","189.17633268","444.5879"
"Connecticut","Texas","Truck","299.6554","524.1508027","1561.8894"
"Connecticut","Utah","Truck","27.8666","63.22244339","125.7198"
"Connecticut","Vermont","Truck","190.4929","40.311239","1165.7292"
"Connecticut","Virginia","Truck","412.1715","174.60806204","1178.8251"
"Connecticut","Washington","Truck","26.7943","78.91769746","172.462"
"Connecticut","West Virginia","Truck","6.4236","3.79155259","58.069"
"Connecticut","Wisconsin","Truck","102.6387","109.89172639","422.6244"
"Connecticut","Wyoming","Truck","1.1253","2.30056975","3.0382"
"Delaware","Alabama","Truck","58.9904","52.09173894","85.0488000000001"
"Delaware","Arizona","Truck","9.2318","22.01794533","78.5415"
"Delaware","Arkansas","Truck","12.0011","14.01471775","126.8633"
"Delaware","California","Truck","66.8162","185.85777502","269.9305"
"Delaware","Colorado","Truck","1.0437","1.80705695","14.8096"
"Delaware","Connecticut","Truck","100.6106","23.105586","194.5671"
"Delaware","Delaware","Truck","14726.8309","459.35738766","11559.1057"
"Delaware","Washington DC","Truck","25.3115","2.63612073","26.739"
"Delaware","Florida","Truck","52.3905","52.26033422","150.6378"
"Delaware","Georgia","Truck","110.3091","79.98579257","234.7905"
"Delaware","Idaho","Truck","1.1046","2.66904316","1.6112"
"Delaware","Illinois","Truck","95.2325000000001","74.87482988","600.423899999999"
"Delaware","Indiana","Truck","56.7217","37.36050566","161.0947"
"Delaware","Iowa","Truck","41.528","44.17670193","120.6726"
"Delaware","Kansas","Truck","2.4821","2.91988469","13.2632"
"Delaware","Kentucky","Truck","28.6512","19.30557081","73.7005"
"Delaware","Louisiana","Truck","10.3519","12.66450582","47.8068"
"Delaware","Maine","Truck","38.4584","20.18585436","83.2705"
"Delaware","Maryland","Truck","3391.8519","317.97062226","1670.5932"
"Delaware","Massachusetts","Truck","127.4161","46.09787696","367.8767"
"Delaware","Michigan","Truck","36.212","23.61556067","90.891"
"Delaware","Minnesota","Truck","41.178","51.44954736","59.2131"
"Delaware","Mississippi","Truck","6.8899","7.28626897","11.0342"
"Delaware","Missouri","Truck","25.7624","26.00075755","88.5582"
"Delaware","Montana","Truck","0.9815","2.1464292","5.4595"
"Delaware","Nebraska","Truck","14.3995","18.50564712","35.4385"
"Delaware","Nevada","Truck","2.2786","5.8513603","253.0587"
"Delaware","New Hampshire","Truck","16.1844","6.58204207","31.2617"
"Delaware","New Jersey","Truck","1489.4162","114.19708028","2005.8413"
"Delaware","New Mexico","Truck","0.3517","0.68714014","1.0221"
"Delaware","New York","Truck","340.3234","81.3752657","1625.3652"
"Delaware","North Carolina","Truck","166.256","74.35416908","340.9295"
"Delaware","North Dakota","Truck","0.7393","1.13204164","0.8167"
"Delaware","Ohio","Truck","191.4725","90.97139379","4114.0304"
"Delaware","Oklahoma","Truck","3.7744","5.17031185","11.1311"
"Delaware","Oregon","Truck","14.9154","43.12114705","47.1242"
"Delaware","Pennsylvania","Truck","5117.305","751.34109861","4035.9981"
"Delaware","Rhode Island","Truck","14.2806","4.7753807","29.4186"
"Delaware","South Carolina","Truck","51.4229","30.27442205","98.6746"
"Delaware","South Dakota","Truck","0.3535","0.50398261","1.2271"
"Delaware","Tennessee","Truck","67.3968","49.39149072","276.6989"
"Delaware","Texas","Truck","71.5636","114.29121679","329.7565"
"Delaware","Utah","Truck","1.9084","4.13380566","3.1991"
"Delaware","Vermont","Truck","8.1029","3.42777135","29.0418"
"Delaware","Virginia","Truck","315.9082","71.74760456","667.1797"
"Delaware","Washington","Truck","37.4148","105.95537506","91.8063"
