"DMS ORIG","DMS DEST","DMS_MODE","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total Current M$ in 2012"
"California","Wisconsin","Truck","1245.4154","2611.81409829","3859.51830000001","3872.7087"
"California","Wyoming","Truck","163.063","177.68130765","432.6931","433.706"
"Colorado","Alabama","Truck","59.7152000000001","81.63739503","292.4355","294.0909"
"Colorado","Alaska","Truck","5.749","18.4415259","35.9414","35.9663"
"Colorado","Arizona","Truck","619.504","495.9754951","857.0934","858.077599999999"
"Colorado","Arkansas","Truck","127.7446","121.77962318","446.3961","446.7969"
"Colorado","California","Truck","1270.6177","1427.92924239","3181.1281","3187.1235"
"Colorado","Colorado","Truck","159253.9968","12962.02834865","101109.8389","101312.6995"
"Colorado","Connecticut","Truck","29.4642","55.56623808","203.1703","203.931"
"Colorado","Delaware","Truck","2.4084","4.18684212","17.0535","17.0254"
"Colorado","Washington DC","Truck","223.1912","380.06937367","65.6103","65.8557"
"Colorado","Florida","Truck","124.5325","239.07320968","489.885799999999","491.783899999999"
"Colorado","Georgia","Truck","407.001699999999","599.147967","1184.4815","1188.5726"
"Colorado","Idaho","Truck","317.4276","258.74094","361.8987","362.2435"
"Colorado","Illinois","Truck","246.3308","246.11095897","1111.2108","1113.4861"
"Colorado","Indiana","Truck","143.3893","159.74372328","412.0261","413.3424"
"Colorado","Iowa","Truck","189.4676","150.07728028","1034.2911","1014.8088"
"Colorado","Kansas","Truck","1305.457","750.3491749","1156.338","1158.903"
"Colorado","Kentucky","Truck","137.9643","164.41221907","1293.3223","1298.3955"
"Colorado","Louisiana","Truck","41.838","52.29160169","91.8693000000001","92.3322000000002"
"Colorado","Maine","Truck","14.7091","31.9591227","66.4444","66.4923"
"Colorado","Maryland","Truck","45.524","77.39625965","373.0594","374.9767"
"Colorado","Massachusetts","Truck","43.4973","87.21609275","347.2529","347.8434"
"Colorado","Michigan","Truck","342.924","424.22567422","756.6416","756.395699999999"
"Colorado","Minnesota","Truck","121.4824","114.31832351","318.428","319.4822"
"Colorado","Mississippi","Truck","144.9152","180.46583882","105.2841","105.5482"
"Colorado","Missouri","Truck","468.6995","344.98779351","641.8649","643.5029"
"Colorado","Montana","Truck","228.0701","177.15203578","758.8439","760.3723"
"Colorado","Nebraska","Truck","2060.114","1065.5473188","2186.1586","2190.0944"
"Colorado","Nevada","Truck","212.4892","180.37789795","324.327","323.149"
"Colorado","New Hampshire","Truck","3.1125","6.20835876","24.3759","24.368"
"Colorado","New Jersey","Truck","81.8430000000001","147.21488455","925.768199999999","929.099899999999"
"Colorado","New Mexico","Truck","2215.2092","1006.71385573","2071.6343","2076.3542"
"Colorado","New York","Truck","166.6372","294.02158639","651.018799999999","651.637899999999"
"Colorado","North Carolina","Truck","132.7946","219.33263211","364.9286","365.9395"
"Colorado","North Dakota","Truck","68.4564","60.68102425","120.6403","120.8423"
"Colorado","Ohio","Truck","178.3068","232.58814378","624.518","626.012999999999"
"Colorado","Oklahoma","Truck","542.8425","383.27965912","475.5532","474.3468"
"Colorado","Oregon","Truck","373.6473","473.14631754","628.9309","629.754099999999"
