"DMS ORIG","DMS DEST","DMS_MODE","Total KTons in 2002","Total Ton-Mile in 2002","Total M$ in 2002"
"Connecticut","New Mexico","Truck","6.5510","14.05979683","254.4705"
"Connecticut","New York","Truck","5716.5163","653.23919278","14719.1175"
"Connecticut","North Carolina","Truck","184.4569","125.57934661","1385.4438"
"Connecticut","North Dakota","Truck","0.4970","0.81886139","15.2162"
"Connecticut","Ohio","Truck","237.8027","155.04487376","1044.3185"
"Connecticut","Oklahoma","Truck","12.8945","20.14568502","168.9125"
"Connecticut","Oregon","Truck","9.2554","27.91396131","95.8762"
"Connecticut","Pennsylvania","Truck","1413.8784","372.32644585","2924.3171"
"Connecticut","Rhode Island","Truck","1092.0310","95.92264255","2391.6038"
"Connecticut","South Carolina","Truck","76.4613","61.85848168","612.9145"
"Connecticut","South Dakota","Truck","3.9250","6.16245552","12.5570"
"Connecticut","Tennessee","Truck","117.8837","118.45592801","494.8339"
"Connecticut","Texas","Truck","93.2549","162.58950694","1462.9161"
"Connecticut","Utah","Truck","4.5212","10.30844892","65.9226"
"Connecticut","Vermont","Truck","149.1870","32.49681030","458.5427"
"Connecticut","Virginia","Truck","131.7367","59.59493669","667.1008"
"Connecticut","Washington","Truck","8.0140","23.72215517","51.1267"
"Connecticut","West Virginia","Truck","13.4571","7.64788646","671.4931"
"Connecticut","Wisconsin","Truck","60.7079","63.67327110","398.6280"
"Connecticut","Wyoming","Truck","0.4109","0.83497110","8.8585"
"Delaware","Alabama","Truck","26.5087","23.44816955","55.5000"
"Delaware","Alaska","Truck","0.1239","0.53330985","0.1414"
"Delaware","Arizona","Truck","8.5385","20.35038079","52.0529"
"Delaware","Arkansas","Truck","7.6218","8.83550880","64.2014"
"Delaware","California","Truck","102.1830","283.80301378","235.9787"
"Delaware","Colorado","Truck","1.8506","3.24682992","6.1434"
"Delaware","Connecticut","Truck","198.1928","47.00510098","365.0982"
"Delaware","Delaware","Truck","15349.1193","528.98569344","5938.9833"
"Delaware","Washington DC","Truck","56.1930","5.83045496","80.1571"
"Delaware","Florida","Truck","80.8179","77.13038970","134.6182"
"Delaware","Georgia","Truck","108.7937","79.70330116","299.9628"
"Delaware","Idaho","Truck","0.3355","0.80549395","1.2607"
"Delaware","Illinois","Truck","74.4617","58.56387974","161.0993"
"Delaware","Indiana","Truck","35.2683","23.67571327","99.0717"
"Delaware","Iowa","Truck","12.7125","13.57958882","14.0883"
"Delaware","Kansas","Truck","9.9180","11.29191031","3.5908"
"Delaware","Kentucky","Truck","12.9529","8.62124828","19.3121"
"Delaware","Louisiana","Truck","49.6811","61.65378667","65.1593"
"Delaware","Maine","Truck","37.6588","19.94501072","89.8889"
"Delaware","Maryland","Truck","2537.7630","265.84128868","1812.0927"
"Delaware","Massachusetts","Truck","115.1347","40.74063808","520.8055"
"Delaware","Michigan","Truck","26.7231","18.19751201","38.3293"
"Delaware","Minnesota","Truck","7.1683","8.50824606","27.4342"
"Delaware","Mississippi","Truck","27.0795","28.58069094","200.2200"
"Delaware","Missouri","Truck","92.5475","97.49940845","171.9467"
"Delaware","Montana","Truck","2.8155","6.17165405","10.2041"
"Delaware","Nebraska","Truck","7.6260","9.85202412","11.5015"
"Delaware","Nevada","Truck","0.4497","1.12777059","11.5012"
"Delaware","New Hampshire","Truck","22.3866","9.04507717","46.5299"
"Delaware","New Jersey","Truck","3534.2240","297.22726367","3771.7226"
"Delaware","New Mexico","Truck","1.0371","2.02752046","5.7264"
"Delaware","New York","Truck","770.3445","156.00147502","1639.0847"
"Delaware","North Carolina","Truck","135.9347","59.56351490","368.2508"
"Delaware","North Dakota","Truck","0.1568","0.23957655","1.2558"
"Delaware","Ohio","Truck","160.2213","76.05645138","1430.7033"
"Delaware","Oklahoma","Truck","25.8732","35.79450817","13.2185"
"Delaware","Oregon","Truck","8.1362","23.50993480","31.0591"
"Delaware","Pennsylvania","Truck","6624.8783","660.09590227","4210.3922"
"Delaware","Rhode Island","Truck","26.6292","9.01562473","51.6367"
"Delaware","South Carolina","Truck","57.2923","33.29791222","169.5703"
"Delaware","South Dakota","Truck","0.1046","0.15020171","0.2835"
"Delaware","Tennessee","Truck","11.3923","8.73240994","183.5231"
"Delaware","Texas","Truck","97.0085","146.52298943","174.3045"
"Delaware","Utah","Truck","1.0280","2.20822514","16.1754"
"Delaware","Vermont","Truck","6.1275","2.54128424","11.9911"
"Delaware","Virginia","Truck","725.3600","163.42784342","767.3552"
"Delaware","Washington","Truck","7.6936","21.76338966","33.9715"
"Delaware","West Virginia","Truck","42.3378","16.06741336","39.8718"
"Delaware","Wisconsin","Truck","46.9070","43.02455844","87.9985"
"Delaware","Wyoming","Truck","1.0239","1.95328927","0.6714"
"Washington DC","Alabama","Truck","3.0673","2.39329414","10.0508"
"Washington DC","Alaska","Truck","0.1880","0.79904746","0.3147"
"Washington DC","Arizona","Truck","1.5646","3.62206634","4.3230"
"Washington DC","Arkansas","Truck","1.3601","1.43007382","4.4628"
"Washington DC","California","Truck","10.8704","29.58879645","31.0995"
"Washington DC","Colorado","Truck","3.1734","5.39162809","5.7834"
"Washington DC","Connecticut","Truck","6.2392","1.97781580","19.2424"
"Washington DC","Delaware","Truck","6.4420","0.66664101","16.6867"
"Washington DC","Washington DC","Truck","1357.8551","5.83877693","1142.6103"
"Washington DC","Florida","Truck","11.2121","10.40740780","445.1286"
"Washington DC","Georgia","Truck","9.3119","5.90724510","53.7494"
"Washington DC","Idaho","Truck","0.3420","0.80623766","1.0141"
"Washington DC","Illinois","Truck","9.9894","7.38610304","46.9737"
"Washington DC","Indiana","Truck","5.1284","3.10817057","32.6456"
"Washington DC","Iowa","Truck","1.5458","1.56476268","5.2543"
"Washington DC","Kansas","Truck","1.2436","1.48407829","4.0079"
